"Belts","waxes","wax","median","mad"
"Puna","C24","n-Alkanes",1.26817942877168,0.946398763587096
"Puna","C25","FAMEs",1.66143121300607,1.35591912156481
"Puna","C25","n-Alkanes",4.24259681093393,4.38854548136378
"Puna","C26","FAMEs",11.5835662531624,10.5857435281104
"Puna","C26","n-Alkanes",1.62081654108989,1.0924504795826
"Puna","C27","FAMEs",2.94698103393651,1.06056027638214
"Puna","C27","n-Alkanes",10.0961336987587,3.44136754134138
"Puna","C28","FAMEs",24.206309133938,13.7421391620649
"Puna","C28","n-Alkanes",2.34581970488551,1.40167193580534
"Puna","C29","FAMEs",2.92934702270181,2.75049995265975
"Puna","C29","n-Alkanes",22.2306035385918,22.7464794231927
"Puna","C30","FAMEs",9.12036461722085,13.5218525814916
"Puna","C30","n-Alkanes",1.80586819449908,1.58200224141922
"Puna","C31","FAMEs",0.155125750874645,0.229989438246748
"Puna","C31","n-Alkanes",16.8036540686463,9.73264323479009
"Puna","C32","FAMEs",0.488481087860584,0.724222060862102
"Puna","C32","n-Alkanes",0.94073801872161,0.936511017003473
"Steppe","C22","FAMEs",1.28537355766131,0
"Steppe","C22","n-Alkanes",1.36906403400122,1.63663442104044
"Steppe","C23","FAMEs",0.750338425836395,0
"Steppe","C23","n-Alkanes",2.94829769914171,3.83462581310875
"Steppe","C24","FAMEs",2.88661122929156,0
"Steppe","C24","n-Alkanes",1.83974072824719,2.44546389944098
"Steppe","C25","FAMEs",1.17707729001483,0
"Steppe","C25","n-Alkanes",8.44063348246858,11.6699886760728
"Steppe","C26","FAMEs",8.7088248565719,0
"Steppe","C26","n-Alkanes",1.47150505558801,1.56881764436191
"Steppe","C27","FAMEs",2.45084767614259,0
"Steppe","C27","n-Alkanes",10.7759682797242,7.59332001466372
"Steppe","C28","FAMEs",50.7600077354477,0
"Steppe","C28","n-Alkanes",3.44430063558544,1.79951965437327
"Steppe","C29","FAMEs",1.84490427383485,0
"Steppe","C29","n-Alkanes",33.1803932376782,22.8623577831978
"Steppe","C30","FAMEs",21.6386256687939,0
"Steppe","C30","n-Alkanes",6.2631998871662,5.34748323179544
"Steppe","C31","FAMEs",0.621414297685812,0
"Steppe","C31","n-Alkanes",20.2754402488613,22.2943061288725
"Steppe","C32","FAMEs",3.88964094630311,0
"Steppe","C32","n-Alkanes",3.18358117911218,3.68625073645121
"Surface Sediment","C22","FAMEs",11.7433269807565,1.14708635494781
"Surface Sediment","C22","n-Alkanes",6.3610927705536,2.16814360191809
"Surface Sediment","C23","FAMEs",3.47044308150444,0.537351630638281
"Surface Sediment","C23","n-Alkanes",20.3475561820978,2.44319497436773
"Surface Sediment","C24","FAMEs",38.5282610510623,3.77757405361201
"Surface Sediment","C24","n-Alkanes",1.0392814688811,1.54083870576312
"Surface Sediment","C25","FAMEs",1.54427491800941,0.610273418819833
"Surface Sediment","C25","n-Alkanes",12.223589026967,3.33124013200916
"Surface Sediment","C26","FAMEs",11.2234421788108,0.00839941125932585
"Surface Sediment","C26","n-Alkanes",4.49902212723464,1.98022385980407
"Surface Sediment","C27","FAMEs",1.15983476353151,0.0452245210534807
"Surface Sediment","C27","n-Alkanes",17.1911354108554,6.03536994872602
"Surface Sediment","C28","FAMEs",3.13417938114929,1.15385571528044
"Surface Sediment","C28","n-Alkanes",0.503956292388846,0.747165599095703
"Surface Sediment","C29","FAMEs",0.309425352916013,0.176636907696968
"Surface Sediment","C29","n-Alkanes",10.1606238701348,3.50278146044074
"Surface Sediment","C30","FAMEs",0.851276201340367,0.389568959189508
"Surface Sediment","C30","n-Alkanes",0.764757101315941,1.13382887841101
"Surface Sediment","C31","FAMEs",0,0
"Surface Sediment","C31","n-Alkanes",3.90805906651575,1.38794952640556
"Surface Sediment","C32","FAMEs",0,0
"Surface Sediment","C32","n-Alkanes",1.2095792704298,1.0435437149933
