median,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C,N,CN,d13C,d15N,Wt,ACL,CPI
8633,0.33919810644097,0.414836465356477,0.667120929565342,0.418594893128676,1.70303758427772,0.961217902739923,19.5182136114325,8.34746808205422,435.315309636797,5.78656935877206,16.9530728897719,0.887458757710515,1.69270190790417,0,0,34.3554525516361,1.59068017480282,25.1871348323235,-21.3544144478688,8.01998394627605,493.0048001259515,28.98072005841399,43.51934257705263
9107,0,0,0,0,4.36210240496509,1.45577967416602,19.9776958882855,5.22614429790535,46.4540341349884,3.08436772692009,8.85512024825446,0,0,0,0,38.0349170167433,2.03978275224256,21.7452557343363,-22.5205493948791,5.43395418090139,89.41524437548492,28.501643655489808,12.233243967828432
9539,0.308939152596368,0.271169162153552,1.18927046830201,0.607225230965276,6.35116916215355,3.35765530423702,61.2412488383819,20.3560879260911,458.960467521952,10.3276712328767,22.0123403220618,1.66962726983116,4.37938196877987,0,0,27.451369351966,1.82227050178404,17.5677899364957,-22.3857209487402,6.56971633055673,591.0322535603824,28.831303242267317,22.886577111356516
10062,0.402568127590104,0.319948511867387,0.846446063041567,0.435777973125706,2.80015697601406,1.66130227301268,27.9523843158828,10.5048411402738,209.354411756229,7.19033655657416,27.7433476398741,1.77308175310812,4.65585834484491,0,0,26.0962227451157,2.08303719727672,14.6098779207893,-24.3956343437993,7.73894149969446,295.6404614314384,29.007046048616886,19.013329417578653
10236,0.290986041414316,0.230136413451001,0.908063678837169,0.4228269020015,3.2102079367826,1.36365576512661,29.5424943761897,11.742417950049,377.596125338871,7.25826844321394,47.7076685701102,2.23661388936956,9.57211455269078,0,0,35.8021914683202,2.25300053225747,18.5316580612209,-23.2454328158531,9.18054951035475,492.0815798581074,29.120224511441197,30.525175346457544
10299,0,0,0.530901933541739,0.272467291883756,2.56095866620354,1.55645478754197,25.4495206973833,8.03836980433021,25.4495206973833,6.3404191270117,25.4495206973833,1.70145883987496,6.01883755933773,0,0,39.7894705516412,1.94391117787973,23.8702905334439,-22.1884072253915,8.86846076674019,103.3684301018755,29.124575194542864,7.1577237496717245
10863,0,0,0,0,6.58700696055684,2.63480278422274,38.9795823665893,10.6167053364269,124.881902552204,9.10556844547564,65.7538283062645,0,0,0,0,NA,NA,NA,NA,NA,258.5593967517399,29.115157480314963,15.847487001733096
11425,0.412780333525014,0.288676442399847,1.1951744297489,0.466738547057696,2.8894623346751,0.868727237876174,12.96885662258,2.93532681617788,50.9149702894384,2.26084914701936,11.4391412689285,0,0.860633505846271,0,0,30.4220635351718,2.3724669415165,14.9538996213065,-22.7504836725011,5.92055585911369,87.50133697527313,28.771443936542088,18.433705080545224
11633,0.412676720075401,0.701550424128181,0.962912346842601,0.571852026390198,2.06534872761546,0.919679547596607,12.8597146799203,5.32352968897267,144.335408247098,4.24074458058435,19.0248780642045,0.888237511781338,3.5509849198869,0,0,47.4303169347565,1.77730656696824,31.1214370648414,-21.2273539355588,7.47884002205743,195.85751748509654,29.06835584753577,22.956955389491462
11779,0.407680639823497,0,1.66835461835462,0.542180406466121,5.34096482667911,1.77776634562349,38.3512495226781,10.3014277228563,895.640218083075,12.2917455131741,76.6725327761042,2.36594149094149,8.79196402053545,0,0,33.5815371007666,3.27751592787181,11.9487292830035,-23.1800229275572,4.01198776426146,1054.1520259663114,29.078362548483526,56.442481606376404
